id;names;class_node;node.size;log_node.size;country;country.label;node.colour
A90;t1;author;1;0.1;Australia;A;yellow4
A205;t45;author;1;0.1;Brazil;BZ;violetred4
A597;t51;author;1;0.1;Brazil;BZ;violetred4
A365;t105;author;1;0.1;Canada;CA;olivedrab4
A369;t112;author;1;0.1;Canada;CA;olivedrab4
A554;t137;author;1;0.1;Canada;CA;olivedrab4
A610;t151;author;1;0.1;Chile;CHL;palegreen4
A45;t154;author;1;0.1;China;CHN;red
A54;t155;author;1;0.1;China;CHN;red
A93;t156;author;1;0.1;China;CHN;red
A94;t158;author;1;0.1;China;CHN;red
A96;t159;author;1;0.1;China;CHN;red
A97;t160;author;1;0.1;China;CHN;red
A100;t163;author;1;0.1;China;CHN;red
A101;t164;author;1;0.1;China;CHN;red
A102;t165;author;1;0.1;China;CHN;red
A103;t166;author;1;0.1;China;CHN;red
A124;t167;author;1;0.1;China;CHN;red
A150;t170;author;1;0.1;China;CHN;red
A151;t171;author;1;0.1;China;CHN;red
A154;t172;author;1;0.1;China;CHN;red
A160;t173;author;1;0.1;China;CHN;red
A169;t174;author;1;0.1;China;CHN;red
A193;t182;author;1;0.1;China;CHN;red
A220;t184;author;1;0.1;China;CHN;red
A221;t188;author;1;0.1;China;CHN;red
A222;t189;author;1;0.1;China;CHN;red
A251;t195;author;1;0.1;China;CHN;red
A252;t196;author;1;0.1;China;CHN;red
A265;t198;author;1;0.1;China;CHN;red
A267;t200;author;1;0.1;China;CHN;red
A268;t201;author;1;0.1;China;CHN;red
A269;t202;author;1;0.1;China;CHN;red
A271;t203;author;1;0.1;China;CHN;red
A293;t204;author;1;0.1;China;CHN;red
A321;t205;author;1;0.1;China;CHN;red
A321;t206;author;1;0.1;China;CHN;red
A321;t207;author;1;0.1;China;CHN;red
A322;t208;author;1;0.1;China;CHN;red
A322;t210;author;1;0.1;China;CHN;red
A325;t213;author;1;0.1;China;CHN;red
A326;t214;author;1;0.1;China;CHN;red
A327;t215;author;1;0.1;China;CHN;red
A331;t219;author;1;0.1;China;CHN;red
A332;t220;author;1;0.1;China;CHN;red
A333;t221;author;1;0.1;China;CHN;red
A334;t222;author;1;0.1;China;CHN;red
A335;t223;author;1;0.1;China;CHN;red
A337;t226;author;1;0.1;China;CHN;red
A338;t227;author;1;0.1;China;CHN;red
A341;t230;author;1;0.1;China;CHN;red
A346;t231;author;1;0.1;China;CHN;red
A349;t232;author;1;0.1;China;CHN;red
A364;t248;author;1;0.1;China;CHN;red
A403;t252;author;1;0.1;China;CHN;red
A404;t253;author;1;0.1;China;CHN;red
A408;t254;author;1;0.1;China;CHN;red
A435;t255;author;1;0.1;China;CHN;red
A465;t257;author;1;0.1;China;CHN;red
A465;t258;author;1;0.1;China;CHN;red
A472;t259;author;1;0.1;China;CHN;red
A486;t260;author;1;0.1;China;CHN;red
A486;t261;author;1;0.1;China;CHN;red
A488;t263;author;1;0.1;China;CHN;red
A490;t265;author;1;0.1;China;CHN;red
A546;t268;author;1;0.1;China;CHN;red
A550;t270;author;1;0.1;China;CHN;red
A552;t274;author;1;0.1;China;CHN;red
A581;t275;author;1;0.1;China;CHN;red
A582;t276;author;1;0.1;China;CHN;red
A589;t280;author;1;0.1;China;CHN;red
A590;t281;author;1;0.1;China;CHN;red
A591;t282;author;1;0.1;China;CHN;red
A640;t286;author;1;0.1;China;CHN;red
A642;t287;author;1;0.1;China;CHN;red
A644;t289;author;1;0.1;China;CHN;red
A645;t290;author;1;0.1;China;CHN;red
A646;t291;author;1;0.1;China;CHN;red
A665;t294;author;1;0.1;China;CHN;red
A668;t295;author;1;0.1;China;CHN;red
A670;t298;author;1;0.1;China;CHN;red
A671;t299;author;1;0.1;China;CHN;red
A672;t300;author;1;0.1;China;CHN;red
A673;t301;author;1;0.1;China;CHN;red
A676;t306;author;1;0.1;China;CHN;red
A678;t308;author;1;0.1;China;CHN;red
A682;t309;author;1;0.1;China;CHN;red
A683;t310;author;1;0.1;China;CHN;red
A685;t311;author;1;0.1;China;CHN;red
A686;t312;author;1;0.1;China;CHN;red
A687;t313;author;1;0.1;China;CHN;red
A690;t315;author;1;0.1;China;CHN;red
A695;t319;author;1;0.1;China;CHN;red
A696;t320;author;1;0.1;China;CHN;red
A697;t321;author;1;0.1;China;CHN;red
A707;t329;author;1;0.1;China;CHN;red
A708;t330;author;1;0.1;China;CHN;red
A710;t331;author;1;0.1;China;CHN;red
A714;t335;author;1;0.1;China;CHN;red
A716;t337;author;1;0.1;China;CHN;red
A719;t340;author;1;0.1;China;CHN;red
A720;t341;author;1;0.1;China;CHN;red
A722;t343;author;1;0.1;China;CHN;red
A724;t344;author;1;0.1;China;CHN;red
A728;t347;author;1;0.1;China;CHN;red
A734;t355;author;1;0.1;China;CHN;red
A738;t365;author;1;0.1;China;CHN;red
A185;t367;author;1;0.1;Colombia;CO;chartreuse4
A232;t375;author;1;0.1;Denmark;DK;navyblue
A586;t383;author;1;0.1;Denmark;DK;navyblue
A130;t511;author;1;0.1;France;FRA;blue3
A358;t610;author;1;0.1;France;FRA;blue3
A388;t615;author;1;0.1;France;FRA;blue3
A450;t667;author;1;0.1;France;FRA;blue3
A467;t694;author;1;0.1;France;FRA;blue3
A522;t737;author;1;0.1;France;FRA;blue3
A363;t766;author;1;0.1;Germany;GER;dodgerblue2
A535;t793;author;1;0.1;Germany;GER;dodgerblue2
A605;t797;author;1;0.1;Germany;GER;dodgerblue2
A680;t801;author;1;0.1;Germany;GER;dodgerblue2
A494;t810;author;1;0.1;India;IN;orchid4
A548;t813;author;1;0.1;India;IN;orchid4
A74;t866;author;1;0.1;Netherlands;NT;darkblue
A136;t871;author;1;0.1;Netherlands;NT;darkblue
A161;t880;author;1;0.1;Netherlands;NT;darkblue
A479;t901;author;1;0.1;Netherlands;NT;darkblue
A623;t922;author;1;0.1;Netherlands;NT;darkblue
A12;t940;author;1;0.1;Portugal;PO;blue1
A126;t941;author;1;0.1;Portugal;PO;blue1
A127;t942;author;1;0.1;Portugal;PO;blue1
