from to amstar_level
A224 RW1 "moderate quality"
A225 RW1 "moderate quality"
A557 RW1 "moderate quality"
A183 RW10 "moderate quality"
A442 RW10 "moderate quality"
A654 RW10 "moderate quality"
A253 RW103 "moderate quality"
A487 RW103 "moderate quality"
A717 RW103 "moderate quality"
A733 RW103 "moderate quality"
A250 RW104 "moderate quality"
A371 RW104 "moderate quality"
A674 RW104 "moderate quality"
A729 RW104 "moderate quality"
A730 RW104 "moderate quality"
A114 RW105 "low quality"
A286 RW105 "low quality"
A392 RW105 "low quality"
A236 RW106 "moderate quality"
A430 RW106 "moderate quality"
A508 RW106 "moderate quality"
A531 RW106 "moderate quality"
A571 RW106 "moderate quality"
A605 RW106 "moderate quality"
A148 RW107 "moderate quality"
A235 RW107 "moderate quality"
A24 RW107 "moderate quality"
A25 RW107 "moderate quality"
A1 RW108 "moderate quality"
A227 RW108 "moderate quality"
A295 RW108 "moderate quality"
A309 RW108 "moderate quality"
A636 RW108 "moderate quality"
A24 RW109 "moderate quality"
A249 RW109 "moderate quality"
A564 RW109 "moderate quality"
A143 RW110 "moderate quality"
A361 RW110 "moderate quality"
A394 RW110 "moderate quality"
A679 RW110 "moderate quality"
A709 RW110 "moderate quality"
A154 RW111 "high quality"
A269 RW111 "high quality"
A271 RW111 "high quality"
A403 RW111 "high quality"
A404 RW111 "high quality"
A472 RW111 "high quality"
A54 RW111 "high quality"
A671 RW111 "high quality"
A686 RW111 "high quality"
A20 RW112 "moderate quality"
A273 RW112 "moderate quality"
A274 RW112 "moderate quality"
A29 RW112 "moderate quality"
A310 RW112 "moderate quality"
A413 RW112 "moderate quality"
A446 RW112 "moderate quality"
A464 RW112 "moderate quality"
A48 RW112 "moderate quality"
A500 RW112 "moderate quality"
A51 RW112 "moderate quality"
A511 RW112 "moderate quality"
A538 RW112 "moderate quality"
A634 RW112 "moderate quality"
A80 RW112 "moderate quality"
A304 RW113 "moderate quality"
A345 RW113 "moderate quality"
A572 RW113 "moderate quality"
A74 RW113 "moderate quality"
A740 RW113 "moderate quality"
A187 RW114 "low quality"
A207 RW114 "low quality"
A254 RW114 "low quality"
A316 RW114 "low quality"
A453 RW114 "low quality"
A482 RW114 "low quality"
A55 RW114 "low quality"
A81 RW114 "low quality"
A196 RW115 "moderate quality"
A357 RW115 "moderate quality"
A484 RW115 "moderate quality"
A633 RW115 "moderate quality"
A129 RW116 "moderate quality"
A224 RW116 "moderate quality"
A367 RW116 "moderate quality"
A361 RW119 "high quality"
A394 RW119 "high quality"
